Using electrophysiological measures to evaluate the sense of presence in immersive virtual environments: An event-related potential study,10.1002/brb3.2269
Using electrophysiological measures to evaluate the sense of presence in immersive virtual environments: An event-related potential study,10.1002/brb3.2269
"How Deep Is a Virtual Reality Experience? Virtual Environments, Emotions and Physiological Measures",10.1007/978-3-030-20227-9_43
A Pilot Study on the Feasibility of Dynamic Difficulty Adjustment in Game-Based Learning Using Heart-Rate,10.1007/978-3-030-34350-7_12
A pilot study on the feasibility of dynamic difficulty adjustment in game-based learning using heart-rate,10.1007/978-3-030-34350-7_12
Visualizing a user’s cognitive and emotional journeys: A fintech case,10.1007/978-3-030-49713-2_38
Stress Heatmaps: A Fuzzy-Based Approach that Uses Physiological Signals,10.1007/978-3-030-49757-6_19
Ambient UX Research: User Experience Investigation Through Multimodal Quadrangulation,10.1007/978-3-030-50344-4_22
User Evaluation of Affective Dynamic Difficulty Adjustment Based on Physiological Deep Learning,10.1007/978-3-030-50353-6_1
Accelerometer-Based Evaluation of the Human Psychological State While Viewing Content on Smartphones,10.1007/978-3-030-50726-8_41
User Engagement with Driving Simulators: An Analysis of Physiological Signals,10.1007/978-3-030-59987-4_10
Exploring the Design of Interactive Smart Textiles for Emotion Regulation,10.1007/978-3-030-59987-4_22
A Neurophysiological Sensor Suite for Real-Time Prediction of Pilot Workload in Operational Settings,10.1007/978-3-030-60128-7_5
User Experience Quality Analysis Method Based on Frequency Domain Characteristics of Physiological Signal,10.1007/978-3-030-72792-5_56
"Effects of Multimodal Warning Types on Driver’s Task Performance, Physiological Data and User Experience",10.1007/978-3-030-77080-8_25
Distributed Remote Psychophysiological Data Collection for UX Evaluation: A Pilot Project,10.1007/978-3-030-78462-1_19
Designing for self-awareness: Evidence-based explorations of multimodal stress-tracking wearables,10.1007/978-3-030-78465-2_27
Don't Leave Me Alone: Retrospective Think Aloud Supported by Real-Time Monitoring of Participant's Physiology,10.1007/978-3-319-91238-7_13
Towards a Conceptual Framework for the Objective Evaluation of User Experience,10.1007/978-3-319-91797-9_39
User Experience Analysis Based on Physiological Data Monitoring and Mixed Prototyping to Support Human-Centre Product Design,10.1007/978-3-319-94706-8_44
User experience analysis based on physiological data monitoring and mixed prototyping to support human-centre product design,10.1007/978-3-319-94706-8_44
Two-dimensional emotion evaluation with multiple physiological signals,10.1007/978-3-319-94944-4_18
Identification of Emotional States and Their Potential,10.1007/978-981-13-6861-5_58
Effects of voluntary heart rate control on user engagement and agency in a virtual reality game,10.1007/s10055-020-00429-7
Effects of voluntary heart rate control on user engagement and agency in a virtual reality game,10.1007/s10055-020-00429-7
Investigating the relationship between mental state (workload and affect) and physiology in a control room setting (ship bridge simulator),10.1007/s10111-019-00553-8
Development and Pilot Test of a Virtual Reality Respiratory Biofeedback Approach,10.1007/s10484-020-09468-x
Physiological heatmaps: a tool for visualizing users' emotional reactions,10.1007/s11042-017-5091-1
Cognitive load associations when utilizing auditory display within image-guided neurosurgery,10.1007/s11548-019-01970-w
Using psychophysiological measures to evaluate the multisensory and emotional dynamics of the tea experience,10.1007/s11694-018-9754-z
Emotion recognition for semi-autonomous vehicles framework,10.1007/s12008-018-0473-9
Evaluating the effectiveness of biometric sensors and their signal features for classifying human experience in virtual environments,10.1016/j.aei.2021.101358
