,0
0,10.1007/978-3-030-34350-7_12
1,10.1007/978-3-030-34350-7_12
2,10.1007/978-3-030-49713-2_38
3,10.1007/978-3-030-49757-6_19
4,10.1007/978-3-030-50344-4_22
5,10.1007/978-3-030-50353-6_1
6,10.1007/978-3-030-50726-8_41
7,10.1007/978-3-030-59987-4_10
8,10.1007/978-3-030-59987-4_22
9,10.1007/978-3-030-60128-7_5
10,10.1007/978-3-030-72792-5_56
11,10.1007/978-3-030-77080-8_25
12,10.1007/978-3-030-78462-1_19
13,10.1007/978-3-030-78465-2_27
14,10.1007/978-3-319-91238-7_13
15,10.1007/978-981-13-6861-5_58
16,10.1007/s12008-018-0473-9
17,10.1016/j.aei.2021.101358
18,10.1016/j.ijhcs.2020.102430
19,10.1016/j.ijinfomgt.2019.02.003
20,10.1016/j.ssci.2017.12.024
21,10.1051/e3sconf/202017901016
22,10.1061/(ASCE)CP.1943-5487.0000812
23,10.1080/10447318.2019.1693166
24,10.1080/10447318.2020.1825205
25,10.1080/10447318.2020.1825205
26,10.1088/1742-6596/2026/1/012014
27,10.1089/cyber.2018.0128
28,10.1108/IJCS-06-2021-0018
29,10.1109/ACCESS.2020.2964794
30,10.1109/ACCESS.2021.3108446
31,10.1109/ACII.2019.8925442
32,10.1109/ACIIW.2019.8925097
33,10.1109/ACIIW.2019.8925297
34,10.1109/AIVR.2018.00048
35,10.1109/AIVR50618.2020.00072
36,10.1109/AIVR50618.2020.00072
37,10.1109/AIVR52153.2021.00037
38,10.1109/AIVR52153.2021.00055
39,10.1109/ATSIP49331.2020.9231666
40,10.1109/BIBE.2018.00031
41,10.1109/BIBM47256.2019.8983372
42,10.1109/BioRob49111.2020.9224322
43,10.1109/BSN.2018.8329668
44,10.1109/CoG47356.2020.9231892
45,10.1109/DISA.2018.8490643
46,10.1109/EDUCON46332.2021.9453959
47,10.1109/EDUCON46332.2021.9453959
48,10.1109/EMBC.2019.8857852
49,10.1109/EMBC44109.2020.9175233
50,10.1109/EMBC44109.2020.9176022
51,10.1109/FUZZ48607.2020.9177748
52,10.1109/GCCE46687.2019.9015475
53,10.1109/IBITeC53045.2021.9649333
54,10.1109/ICBAPS.2018.8527413
